date,F1,F2,F3,F4,F5,F6,F7,F8
2013-10-21,0.123551644,0.29568797,0.24924438,-0.2628627,0.20236887,0.31644517,-0.39921755,0.1310895
2013-10-22,0.51728433,1.0519155,0.3402434,-0.004918072,0.8914801,0.5471713,-0.9096378,0.58623296
2013-10-23,-0.6243948,-0.48843658,0.546284,-0.9359037,-1.1507933,0.3609727,-0.033236466,-1.0235503
2013-10-24,0.25925255,0.9104068,0.087550215,0.13325009,0.5572491,0.14792839,-0.5316323,0.04198141
2013-10-25,0.030711878,0.33697376,-0.3024877,0.6785925,0.13223876,-0.053531744,-0.04856718,-0.17139776
2013-10-28,0.577054,0.70079464,-0.48694035,0.62673396,1.002343,-0.58720475,0.3605705,-0.51002985
2013-10-29,-0.1783034,-0.15576954,-0.1100477,-0.23183294,-0.46612537,-0.03807701,0.11179432,-0.17968129
2013-10-30,0.08304083,0.74309504,0.060138047,0.056498263,0.56032306,-0.14992875,-0.17038864,0.82809454
2013-10-31,-0.5904614,-0.5336552,-0.54189306,0.438937,-1.3621035,0.0003008879,0.51820844,-1.4993026
2013-11-01,-0.28882447,0.30667683,0.79141164,-0.48617157,-0.46130556,0.7105156,-0.30117097,-0.89791703
2013-11-04,0.048284277,-0.0816275,0.23629299,-0.6268776,-0.05011258,-0.0036578793,0.23487759,-0.976085
2013-11-05,-0.17403352,0.24449107,-0.037998978,0.32250217,-0.26641625,0.123563506,-0.031569466,-0.46465465
2013-11-06,0.4135764,0.28978875,-0.023442449,-0.4703961,0.6258473,-0.31462198,0.23082958,-0.23327193
2013-11-07,-0.59530425,-0.0017980637,0.35779607,0.06444509,-0.7460719,0.42692187,-0.18736954,-0.17225233
2013-11-08,-0.5137332,-0.88544667,-0.7319677,0.36582416,-0.8974264,-0.405129,0.67013377,-0.035370413
2013-11-11,-0.07587999,-0.55198973,-0.3411195,-0.24736555,-0.23147434,-0.46044764,0.45230797,-0.08283136
2013-11-12,-0.531634,-0.28678295,0.10847305,0.115626216,-0.88025194,0.2234507,0.13027866,-0.33318424
2013-11-13,0.060650554,-0.39900786,-0.43435708,-0.26055446,-0.03523738,-0.5229514,0.6818286,-0.78663015
2013-11-14,0.23130728,0.63456804,0.4506954,-0.36330158,1.0543078,-0.47601607,0.33252355,0.09516508
2013-11-15,0.03441404,0.7273445,-0.094444275,1.0624743,0.3120173,-0.01579647,-0.20999327,-0.21548493
2013-11-18,-0.3642816,-0.19679461,-0.04854857,0.3037348,-0.675277,-0.02054461,0.47423857,-1.1778831
2013-11-19,0.11350501,0.06841841,0.14811514,0.013508538,0.21667105,0.36643115,-0.26687053,0.10424473
2013-11-20,-0.53533465,-0.45224473,-0.5280655,0.56284475,-0.7911677,-0.42487216,0.5660505,-0.2700108
2013-11-21,-0.39265338,-0.98103595,-0.7445352,0.2309047,-0.5052831,-0.5898233,0.75028825,0.66317976
2013-11-22,0.0579915,-0.03488532,-0.39054403,0.10396314,-0.1792474,-0.21715151,0.12895682,0.28305852
2013-11-25,-0.23986733,-0.13697167,0.28345355,-0.18097013,-0.4111304,0.169275,-0.1388687,0.0930716
2013-11-26,0.07619534,0.058853507,-0.13044852,0.109672345,0.036539946,-0.1600452,0.18307778,-0.37262404
