date,F1,F2,F3,F4,F5,F6,F7,F8
2013-10-21,-0.10587428,0.47550964,0.2089946,-0.36142316,0.27553678,0.34815592,-0.6971893,0.30400115
2013-10-22,0.45427936,1.0358784,-0.03171588,-0.0654462,0.713551,0.6309958,-1.7864547,0.9010901
2013-10-23,-1.1770575,-0.31288323,0.8567325,-1.4592578,-1.0105019,0.18059753,0.21552183,-1.4315916
2013-10-24,0.3203003,1.1107533,0.022900049,0.041525643,0.48206988,-0.11734383,-1.0674098,0.2076571
2013-10-25,0.14704064,0.45141685,-0.33448675,0.9587812,0.055717945,-0.08299908,-0.19495255,-0.14185739
2013-10-28,1.1977232,1.079454,-0.36688873,1.1235982,1.0583465,-0.7245094,0.30206826,-0.15849501
2013-10-29,-0.38046426,0.094964415,-0.16632946,-0.37378988,-0.67391473,-0.0701358,0.2269982,-0.25563508
2013-10-30,0.14475684,0.7692099,-0.10697093,-0.3000688,0.4322326,-0.27329233,-0.55278933,1.1662469
2013-10-31,-0.9904238,-0.22031274,-0.41412804,0.619361,-1.5070592,0.4085146,1.2781323,-1.9341885
2013-11-01,-0.6750561,0.64974713,0.9786728,-0.64391154,-0.13474905,0.9266341,-0.28572792,-0.9871652
2013-11-04,-0.066159494,0.2450695,0.4523358,-0.86555827,0.32964638,-0.06628268,0.4794873,-1.1929436
2013-11-05,-0.28813386,0.4864069,-0.004473839,0.42461172,-0.35238582,0.18935905,-0.014364495,-0.553517
2013-11-06,0.43203092,0.5833909,0.009743684,-0.56544507,0.7689581,-0.45652178,0.28077775,-0.12566502
2013-11-07,-0.8806496,0.00795915,0.42638594,-0.05175224,-0.83019024,0.5224047,-0.2365149,-0.38741398
2013-11-08,-0.63694924,-0.98035514,-0.7441444,0.33011132,-1.3930085,-0.13915585,1.1485883,-0.35567522
2013-11-11,-0.088367954,-0.5114469,-0.26240563,-0.42532405,-0.32350108,-0.5784476,0.77347374,-0.21160194
2013-11-12,-0.8128896,-0.23686856,0.13373968,0.01725937,-1.0641627,0.43819353,0.43190143,-0.66352606
2013-11-13,-0.0029602267,-0.009342653,-0.3966952,-0.3469508,0.033499856,-0.6413437,1.2074704,-0.9696755
2013-11-14,0.5087368,0.74806243,0.66494906,-0.6318632,1.5865172,-0.6127963,0.24333769,0.19067173
2013-11-15,0.43653628,0.795823,-0.01562899,1.4827281,0.3097897,0.02201601,-0.47251698,-0.14375882
2013-11-18,-0.55189884,0.008933348,0.12494372,0.5137667,-0.63883924,0.22013052,1.0464251,-1.4462506
2013-11-19,0.031667553,0.14198782,0.15937692,0.08680491,0.40524936,0.3965109,-0.4398848,0.1359437
2013-11-20,-0.4843311,-0.49917904,-0.45485026,0.5378254,-1.237045,-0.31127238,0.9744893,-0.5767376
2013-11-21,-0.29117796,-1.2292335,-0.77557707,0.06109139,-1.0047896,-0.55592275,1.1914934,0.48828778
2013-11-22,-0.0050340756,0.052672107,-0.68393946,0.11992504,-0.41360548,-0.11491554,0.17918962,0.30610034
2013-11-25,-0.44308552,-0.17675622,0.33176458,-0.31159785,-0.39789355,0.2639351,-0.17428039,-0.029414523
2013-11-26,0.15415946,0.20008376,-0.066186085,0.1466878,0.107534885,-0.07865544,0.34242642,-0.46228212
2013-11-27,-0.38138056,-0.004928591,0.08443466,-0.10414254,-0.6050855,-0.25207043,0.43498066,-1.1000793
2013-11-29,0.22504462,0.2762611,-0.006057215,-0.33558562,0.3933808,0.56089383,-0.88262814,1.2925506
2013-12-02,-0.92728734,0.02017724,-0.55932766,0.82070255,-1.611577,-0.4034472,1.209849,-1.3770752
2013-12-03,0.15637742,-0.27951303,-0.084759526,-0.6027158,0.29542655,-0.6814965,1.0087492,-0.2987734
2013-12-04,0.47823995,0.6231276,0.17602685,-0.64188266,1.2241858,0.3649194,-1.3568764,1.5975629
2013-12-06,-0.7173451,0.23886958,-0.6462576,0.90312344,-1.0203602,-0.22637063,0.74058896,-0.7035412
2013-12-09,-0.33891404,0.30545542,0.013524191,-0.21025689,-0.17058413,0.7859453,-1.2112185,0.9657881
2013-12-10,0.85096246,0.62736857,0.554021,-0.3558884,1.654216,0.333699,-0.99247384,1.0023973
2013-12-11,-0.2765777,-0.0856134,-0.32825392,0.40864208,-0.6086215,0.100442685,-0.4546282,0.65059644
2013-12-12,-1.0851994,0.5600925,-0.3593285,1.5833662,-1.6701888,0.06640161,0.785945,-1.6984429
2013-12-13,0.23946981,0.9625758,0.18959346,0.7100956,0.47868246,0.39702094,-0.8301784,0.3048045
2013-12-16,-0.05505684,-0.98472154,1.1904743,1.4645972,-0.039317645,-0.51513296,-0.44237575,0.94411606
2013-12-18,-0.06437875,1.3182247,-0.8810915,-0.35704497,0.102362126,-0.5438562,0.4311009,-0.7746179
2013-12-19,-0.9249953,-1.0560683,-1.1162802,0.80973333,-2.091803,0.080235325,1.5112054,-1.0166677
2013-12-20,0.72842073,-0.4836417,-0.29839036,0.35300043,0.64830357,0.21863808,-0.33884728,1.256252
2013-12-23,-0.10647288,0.91364837,-0.33438668,0.11093682,-0.44146279,-0.2025359,0.1266087,-0.71843904
2013-12-24,0.6590596,0.49791643,-0.394491,0.031265635,0.5068294,0.10060773,-0.12201256,0.42953575
2013-12-27,1.0996327,0.49606255,0.008315518,0.754592,1.6277001,0.26456982,-0.62134415,1.4799514
2013-12-30,-0.6795281,0.4123124,-0.1828091,0.3195443,-0.63295466,0.2715619,0.53457075,-1.5593746
2013-12-31,0.06033267,0.19684488,0.28962836,-0.7588381,0.12174472,-0.1829456,0.509579,-1.1769658
2014-01-02,0.28262737,1.6830878,0.7146141,-0.6792885,0.9298234,0.7210838,-2.2375975,0.2763201
2014-01-03,-0.32162917,0.0753139,0.9647822,-2.0891223,0.15085146,0.3631116,-0.68536067,-0.29489174
2014-01-06,0.015946826,-0.46275023,-0.0758248,-0.5932515,-0.091732286,0.7433377,0.09315005,-0.1348866
2014-01-07,-0.17147672,-0.16748358,-0.20966491,0.8948206,-0.25856408,-0.2883829,0.7806919,-0.41764712
2014-01-08,-0.102186866,1.2404193,-0.019046428,0.009047601,-0.03770831,-0.057536427,0.2431369,-0.93230915
2014-01-09,0.076688886,0.46302828,0.7020826,-1.2739593,0.54672617,0.06083832,0.039457742,-0.9170997
