date,F1,F2,F3,F4,F5,F6,F7,F8,F9
2013-10-21,-0.15417458,0.023465065,0.07255386,-0.69585896,0.71084803,-0.27859783,-0.11186003,-0.519364,0.1894445
2013-10-22,0.63250315,-0.563743,1.2647332,-0.9566622,1.7226971,-0.3505029,-0.20090078,-1.0300918,0.040580712
2013-10-23,-1.163429,0.6798095,-0.28511316,0.13848408,-0.79639,-1.4068395,0.21177985,1.4619375,0.9532338
2013-10-24,0.22187592,-0.096980736,1.4906634,0.3168538,0.7782219,-0.43735275,0.12806019,-0.54016,0.1970187
2013-10-25,-0.13881052,-0.13337918,0.4246975,0.5753943,-0.078869075,0.3130813,0.2186455,-0.72594905,-0.1312502
2013-10-28,0.18234918,-0.13380945,0.56760997,1.2768567,0.42485502,1.1132817,0.9595877,-1.2683125,-0.05462763
2013-10-29,-0.3934118,0.5797875,-0.32868105,0.12613687,-0.3706664,-0.08933935,-0.21380286,0.30362576,0.13546716
2013-10-30,0.83789724,-0.011098228,1.2572875,-0.006716522,0.80364525,0.08011543,-0.511281,0.10499066,-0.30519426
2013-10-31,-1.5065151,-0.13867015,-1.2748818,1.1832845,-1.9853092,-0.027389761,0.6322541,0.30971783,0.4593615
2013-11-01,-1.3210315,-1.020938,-0.26043528,-0.9396001,-0.50175214,-0.9443289,0.27683225,-0.28266433,0.50114614
2013-11-04,-0.8346235,0.3532928,-0.542879,0.25045523,0.019895911,-0.34679553,0.8329437,0.15552,0.67707753
2013-11-05,-0.56210697,-0.21429731,0.15856607,0.2971417,-0.49759874,-0.11816518,0.10719283,-0.25760978,0.13538933
2013-11-06,-0.030413847,0.39717704,0.09050079,0.3133909,0.50680405,0.31542122,0.57314044,-0.47313148,-0.028944729
2013-11-07,-0.68497473,-0.27209044,0.13977072,-0.26530653,-1.137377,-0.6066019,-0.6103133,0.33726144,0.05873248
2013-11-08,-0.30992165,0.682168,-0.91869605,0.79518944,-1.3936548,0.5965226,-0.5969342,0.6346101,-0.21502154
2013-11-11,-0.123041645,0.9910622,-0.73183936,0.5322991,-0.39831755,0.5450705,-0.23772985,0.495257,-0.04587382
2013-11-12,-0.7173283,0.13312092,-0.28165412,0.18228756,-1.3625876,-0.2859527,-0.52048707,0.53862983,-0.11056997
2013-11-13,-0.38398516,0.6379402,-0.9987906,0.86214125,-0.10935371,0.48212448,0.6487516,0.17980227,0.17243834
2013-11-14,0.5338796,1.1124789,1.078643,0.8126336,1.3246261,-0.30079904,0.6947965,0.3469366,0.43651068
2013-11-15,-0.06624737,-0.3996661,1.4465798,0.7672082,0.005008673,0.19686267,0.33055383,-0.80596125,-0.070508555
2013-11-18,-1.063198,-0.28349167,-0.877512,0.62134224,-1.3462567,0.20452501,0.5683421,0.007529197,0.3231383
2013-11-19,-0.21281013,0.17878143,-0.17378114,-0.6361472,0.6855088,0.026022144,0.019650634,-0.8216238,0.046209488
2013-11-20,-0.2987247,0.2795004,-0.1697939,1.3063014,-1.7211332,0.3704123,-0.5167822,0.910022,-0.2403376
2013-11-21,0.51330334,0.8114112,-0.6052986,0.9002216,-1.1506627,0.9309102,-1.2557845,1.1576599,-0.6610276
2013-11-22,0.059358485,0.64491403,-0.4739386,-0.029394438,0.14342906,0.40759146,-0.07472735,-0.2013364,-0.10399128
2013-11-25,-0.50942236,0.40688226,-0.22997518,-0.59613454,-0.50213903,-0.07635009,-0.43928257,-0.11631418,-0.13293707
2013-11-26,-0.25510556,0.17724594,0.07778219,0.49573994,-0.3702753,0.27257335,0.21729028,-0.045579843,0.0018248447
2013-11-27,-0.54420197,0.5591044,0.12622781,0.97222686,-0.63422185,-0.36518767,0.31830126,0.85941494,0.58002377
2013-11-29,0.6940702,-0.3008946,0.7915938,-0.9168364,0.52375335,-0.10071935,-1.0892832,-0.284328,-0.6763895
2013-12-02,-0.964288,0.15600498,-0.607786,1.5924801,-2.0975595,0.3067541,0.18303846,0.49760664,0.03957287
2013-12-03,-0.15823655,1.3040531,-0.7553022,0.2753527,0.10544205,0.5743262,0.23603366,0.022992818,0.030234408
2013-12-04,1.0748456,-0.36332136,0.9942416,-1.3601903,2.0409167,0.060112186,-0.5200144,-1.1409934,-0.39935932
2013-12-06,-0.6990653,0.09932015,-0.57551986,0.62723833,-1.1026281,0.5215952,0.15269196,-0.30473542,-0.24713877
2013-12-09,0.14016934,-0.29785132,0.59289676,-1.1432362,0.23740585,-0.48537838,-1.024359,-0.49700874,-0.48596027
2013-12-10,0.93756497,-0.37722802,1.4794841,-0.67922384,1.6479632,-0.1640981,-0.40453094,-0.6978783,-0.28015393
2013-12-11,0.08356229,0.16724329,0.2612788,-0.31682152,-0.42018482,0.25142926,-0.99964535,-0.22981347,-0.6513975
2013-12-12,-1.1919744,-0.4987678,-0.3021499,1.6191697,-2.3313487,0.08328875,0.3322502,0.014647527,0.067980975
2013-12-13,-0.00024761856,-0.6714452,1.2687896,-0.11633306,0.31190374,-0.19138557,-0.08287168,-1.0175971,-0.0602469
2013-12-16,0.6506327,-0.0954901,1.7989136,0.21299843,-0.3804341,0.48281634,-1.4012263,-0.26171425,-1.0105
2013-12-18,-0.6868579,0.5024241,-0.7073185,0.45181757,0.23923342,0.33240262,0.9298338,-0.683016,0.5271569
2013-12-19,-0.7682997,-0.035166778,-1.2913365,1.5551444,-2.5820432,0.59279776,-0.3708853,1.0776986,-0.3255173
2013-12-20,1.1837894,0.16512047,0.19241711,-0.46247903,1.1800284,0.58921975,-0.87476957,-0.3460388,-0.658983
2013-12-23,-0.53046924,0.3795651,0.26902947,0.852681,-0.1854939,-0.35992754,0.5442682,-0.030338224,0.45051047
2013-12-24,0.20581493,0.037272334,-0.31752616,-0.36261138,0.6459487,0.627533,0.041358493,-1.087022,-0.25501156
