date,F1,F2,F3,F4,F5,F6,F7,F8,F9
2013-10-21,0.011297491,-0.036801625,-0.008017294,-0.053407375,0.0016526324,-0.030497821,-0.061576687,0.013957803,0.10845245
2013-10-22,0.4503321,-0.10236184,-0.013503793,-0.09780855,-0.0353189,-0.025490113,-0.107670866,0.12267547,0.20683655
2013-10-23,-1.1021886,0.053909596,-0.01748757,-0.06017315,-0.08802391,-0.13667078,0.023115214,0.0007791772,0.081625625
2013-10-24,0.036329027,-0.06886329,0.010297293,0.008689351,-0.036269244,-0.007613856,0.01304822,0.044888638,0.063924596
2013-10-25,-0.006180685,0.0023752118,0.008017076,0.069109365,0.012446006,0.044135485,0.037221737,-0.03380331,-0.04588505
2013-10-28,0.14901358,-0.029624164,0.021372015,0.19054227,0.029672524,0.18830453,0.09605215,-0.09985164,-0.08520784
2013-10-29,-0.15253714,0.013853264,-0.0019371494,0.02468744,-0.02957271,-0.0041030063,-0.02147035,-0.033817872,-0.027305806
2013-10-30,0.56413954,-0.06152945,0.027241576,-0.062363077,-0.022750037,0.021824865,-0.051235706,0.05015137,0.08085504
2013-10-31,-1.0977284,0.11646211,-0.028911024,0.1812374,-0.06707515,0.08392639,0.11108051,-0.12283505,-0.16968054
2013-11-01,-0.9349835,-0.0174832,-0.011026921,-0.12348055,-0.09524275,-0.10745876,0.004165684,0.00802694,0.09100855
2013-11-04,-0.61135864,0.01850407,-0.01744037,0.03688205,-0.02886239,-0.0015647875,0.05879889,-0.01609527,0.042603794
2013-11-05,-0.3463822,0.0013380105,0.0067488533,0.022625247,-0.026320532,0.007633531,0.017822748,-0.031693928,0.00734296
2013-11-06,0.10222419,-0.019474234,-0.0040630493,0.026711443,0.0026505373,0.03568047,0.08054021,-0.009932977,-0.03854696
2013-11-07,-0.46402022,0.033554956,0.0026245269,-0.08549613,-0.055040266,-0.049881134,-0.06190313,-0.007059371,-0.015686281
2013-11-08,0.06759413,0.08785343,0.012291483,0.12457037,0.051425833,0.09248859,-0.028926821,-0.115713045,-0.18193212
2013-11-11,0.1486135,0.05294967,0.007827705,0.08712529,0.02657721,0.0555683,-0.0070038177,-0.05146507,-0.034620076
2013-11-12,-0.40817294,0.027462373,0.010209925,0.050164554,-0.0459863,-0.025017047,-0.006323608,-0.056528203,-0.07022628
2013-11-13,-0.23398952,0.037842285,-0.009943345,0.18017901,0.044247583,0.07844786,0.10222468,-0.09628569,-0.11649628
2013-11-14,0.287383,-0.034268156,-0.007899776,0.0225958,-0.06306996,0.014984703,0.04728889,0.0798211,0.08102538
2013-11-15,-0.08331274,-0.024392566,0.026485365,0.04352506,0.01058903,0.057783864,0.069168255,-0.02234981,0.062754035
2013-11-18,-0.76812536,0.051142734,-0.01777188,0.07949947,-0.051511273,0.08074533,0.075060636,-0.07089298,-0.12688817
2013-11-19,0.052043017,-0.014258809,-0.0063498514,-0.024064464,0.031578124,-0.009280154,-0.022916745,-0.011630393,0.0057544527
2013-11-20,-0.101855494,0.072297625,0.020211302,0.1197393,0.0025796287,0.0843597,0.014414879,-0.06817437,-0.12877654
2013-11-21,0.69217664,0.057241872,0.028440448,0.11109046,0.0627462,0.106931,-0.06373028,-0.075386934,-0.24146664
2013-11-22,0.24129881,-0.0018142386,-0.011073866,0.030069439,-0.0104486225,0.04090726,-0.016099814,-0.015407766,-0.026207265
2013-11-25,-0.08724676,0.044274557,0.0039692074,-0.06733279,-0.018099606,-0.02986105,-0.055020925,-0.015044825,0.05662066
2013-11-26,-0.12763935,0.0103367055,-0.0006633582,0.033566687,-0.011854514,0.0595329,0.05270175,-0.028948301,-0.020068225
2013-11-27,-0.5339705,0.029972898,0.01263851,0.06603776,-0.050991785,0.025058703,0.03589384,-0.0439107,0.048676815
2013-11-29,0.61272067,-0.06693099,-0.014064078,-0.12574007,0.004465151,-0.02766356,-0.07609716,0.07826806,0.021277029
2013-12-02,-0.6288131,0.12160729,0.027376277,0.21083789,-0.02465866,0.1031269,0.09168415,-0.16870488,-0.17825381
2013-12-03,0.11901104,0.052834295,0.009005852,0.08937199,0.04635096,0.08190314,0.039660558,-0.0803957,-0.0940059
2013-12-04,0.92537224,-0.118622266,-0.008256858,-0.19173038,0.020219425,-0.052504204,-0.10662381,0.12696105,0.16304916
2013-12-06,-0.27422103,0.040384945,0.02437382,0.09202365,0.009347998,0.041369967,0.07958916,-0.12563567,-0.14113931
2013-12-09,0.2527907,-0.04936892,-0.0060139364,-0.14847721,-0.017252734,-0.09654595,-0.097213775,0.044353753,0.057396054
2013-12-10,0.6543266,-0.09021195,-0.0152084865,-0.0979389,0.058523577,-0.009458093,-0.063612044,0.11437701,0.123919085
2013-12-11,0.37052572,-0.0015675846,0.015112031,-0.03210674,0.0038035205,-0.020911876,-0.07849122,-0.017461065,0.015893001
2013-12-12,-0.97693837,0.14614254,0.0034831078,0.2064573,-0.070995264,0.11024803,0.1412577,-0.13610534,-0.17710316
2013-12-13,0.017105354,-0.04564992,0.011796511,-0.0078081395,-0.016355583,0.011843813,-0.03326957,0.02761941,0.049264397
2013-12-16,0.73401004,-0.06939963,0.083113484,-0.005954025,0.040170513,-0.010482766,0.020976545,0.0057587703,0.21328703
2013-12-18,-0.4310191,0.088083036,-0.012977789,0.09408051,0.038842853,0.07883427,0.059374727,-0.06769627,-0.11943581
2013-12-19,-0.37205243,0.14339137,0.014070897,0.2267018,0.037953813,0.11365277,0.059934735,-0.20643276,-0.327277
2013-12-20,0.9601466,-0.0521353,-0.013652273,0.016943848,0.11140043,0.06851024,-0.10873123,0.01862208,-0.03961351
2013-12-23,-0.41732985,0.022739172,0.0013048395,0.103239,-0.025919387,0.030119924,0.039487172,-0.044002846,-0.02271181
2013-12-24,0.35809568,-0.02337474,-0.0077000833,0.018685564,-0.003662183,0.05607597,-0.04713418,-0.004324009,-0.03590241
2013-12-27,1.0170944,-0.09021748,0.005192276,-0.1290132,0.084480636,0.07435258,-0.059808448,0.072107814,0.030705182
2013-12-30,-0.85881513,0.05281422,-0.018879827,0.085854284,-0.011465642,-0.0032619552,0.06849216,-0.09517396,-0.070001826
2013-12-31,-0.5327281,0.010606962,-0.0073443297,0.05019383,-0.07253746,0.023015369,0.0557144,-0.02856885,0.021943029
2014-01-02,-0.2673246,-0.12501451,-0.014785322,-0.20878364,-0.07097153,-0.18547037,-0.05194267,0.17976087,0.36399972
