n_factors,lr,weight_decay,epochs,beta,train_mse,test_mse
9,0.005,0.0,50,0.3,0.6854280121917637,0.802090042705003
9,0.005,0.0001,50,0.3,0.6862517794432074,0.8029746678732725
3,0.001,0.001,300,1.0,0.6989952567013508,0.8030918623537079
6,0.005,0.001,200,2.0,0.6986859110978237,0.8032460364201103
9,0.001,0.001,200,0.3,0.6917183975941185,0.8037999379445201
3,0.005,0.001,200,2.0,0.6995555588532519,0.8041359281023556
9,0.001,0.0,200,0.5,0.6905954912952478,0.8051403762881895
5,0.005,0.001,200,2.0,0.7004507039875275,0.8053228985555996
8,0.005,0.001,50,0.5,0.6929055128667772,0.8057200246555243
9,0.001,0.0001,200,0.5,0.6917972073269814,0.8064364381706529
8,0.001,0.0,200,0.8,0.6908118194183253,0.8070721097220113
8,0.001,0.0001,200,0.8,0.6917404540111961,0.8080502346988477
8,0.005,0.0,50,0.8,0.6974416854891532,0.8107757988921308
8,0.005,0.0001,50,0.8,0.6983093521315279,0.8117468619831171
7,0.001,0.0,200,0.5,0.6980753429066063,0.8121693468891885
9,0.005,0.001,50,0.3,0.6945009847917721,0.8123384605180919
5,0.001,0.0,200,0.3,0.7063085971336875,0.8124560916434094
9,0.005,0.0,50,0.5,0.6918347395043899,0.8126693031567324
