date,F1,F2,F3,F4,F5,F6,F7
2013-10-21,0.098106995,0.3156815,0.46701607,0.49091864,0.16519457,-0.5825991,0.17253108
2013-10-22,0.114723854,1.2614862,0.65617555,1.8307775,0.18200177,-0.5466898,0.2830016
2013-10-23,0.044200912,-1.5620488,0.26120064,-1.7407,-0.0015183553,-1.1735251,0.51311415
2013-10-24,-0.18119788,0.27787846,0.5383287,1.1686804,-0.3071039,-0.1919877,0.149885
2013-10-25,-0.8046436,0.37327716,-0.25225034,0.48506325,-0.097531505,0.11803904,0.30336505
2013-10-28,-1.3263328,0.44259617,-0.5493808,0.76226735,-0.84155834,0.83991194,-0.17133199
2013-10-29,-0.06327821,-0.15418158,-0.113287196,-0.7558743,0.07413458,-0.15766826,0.1428248
2013-10-30,0.28400272,0.9975444,0.25015825,0.7531085,0.070324644,0.14470915,-0.28191295
2013-10-31,-1.4824847,-1.3707165,-0.8301498,-1.7938588,-0.72144425,0.08426355,0.6736391
2013-11-01,-0.48000288,-0.5257217,0.50583446,0.01667374,-0.17460509,-1.3888313,1.2215416
2013-11-04,-0.61110693,-0.56661606,-0.06237709,-0.5440332,-0.327334,-0.6530596,0.26467207
2013-11-05,-0.5835943,-0.38232124,0.15462823,-0.048948456,-0.30496842,-0.08641572,0.35490894
2013-11-06,-0.42383674,0.5650369,-0.20821168,0.10951579,-0.3852203,-0.13965388,-0.1614042
2013-11-07,0.043328352,-0.96016955,0.61495537,-0.55603045,0.11051834,-0.30265397,0.35062683
2013-11-08,-0.4193384,-0.2914963,-0.7778908,-1.69115,0.40644756,0.73302555,-0.15924767
2013-11-11,-0.21058214,0.023698375,-0.5328102,-1.1213464,0.24748518,0.3570293,-0.3242083
2013-11-12,0.033577953,-1.1411982,0.25983906,-0.88614076,-0.042429283,0.05120504,0.17601497
2013-11-13,-0.93043375,-0.06726495,-1.1281698,-0.8148068,-0.27273706,0.027512591,-0.17154267
2013-11-14,-0.42033714,1.161771,-0.25400567,0.4755356,0.0063017197,-0.48373288,0.014740161
2013-11-15,-0.46333757,-0.6142945,0.60437286,0.9450211,-0.9437939,0.6773283,-0.09710047
2013-11-18,-1.3874778,-0.8878697,-0.5547597,-1.0131037,-0.382817,-0.070807934,0.35731393
2013-11-19,-0.07436228,0.5547972,-0.05489523,0.36423182,0.50183636,-0.4725314,0.41795
2013-11-20,-0.6585526,-0.9231435,-0.4511795,-1.1005635,-0.14244741,0.896763,-0.1594753
2013-11-21,0.23283431,-0.11952445,-0.68772715,-1.3604581,0.70000666,1.1605095,-0.7238453
2013-11-22,-0.1045231,1.0327153,-0.51804626,-0.48728096,0.3286092,-0.13268977,0.1985386
2013-11-25,0.29876462,-0.2650645,0.52858704,-0.5559259,0.11484836,-0.20000061,0.04062663
2013-11-26,-0.43831766,-0.47687167,0.0763385,-0.21221344,-0.41543904,0.33143938,-0.16993228
2013-11-27,-0.4958859,-0.9936883,0.038499534,-0.9193876,-0.48360404,-0.0040942472,0.030218134
2013-11-29,1.0067871,0.51644516,0.82454467,0.74016076,0.42445594,0.22431047,-0.21877623
2013-12-02,-1.6428349,-0.72096527,-1.2179623,-1.4701755,-0.63100404,0.665428,0.4032672
2013-12-03,-0.16635396,0.36779276,-0.6621115,-1.0845522,0.0017792246,0.18387802,-0.26285502
2013-12-04,0.6509696,1.9195236,0.4357302,1.6252887,0.7062853,-0.3490537,-0.029262975
2013-12-06,-1.1460409,0.25358078,-0.9956386,-0.79888403,-0.42729554,0.18868172,0.36977017
2013-12-09,0.6979764,0.65217054,0.6323267,0.46315157,0.7095404,-0.5308484,0.5066153
2013-12-10,0.71461034,0.5512223,1.0202261,1.8532137,0.0885159,0.14673842,-0.62222725
2013-12-11,0.27443734,0.3816819,0.09869896,0.005687166,0.43277648,0.2598163,-0.0046663443
2013-12-12,-1.6409575,-1.1344496,-0.632272,-1.0759128,-1.1235166,0.823736,0.5090338
2013-12-13,-0.14849214,-0.047924224,0.9257,1.2711256,-0.43218106,0.071437545,-0.05832213
2013-12-16,1.0283744,-1.4843457,0.4464607,1.07682,0.70740306,1.5590016,-0.6417468
2013-12-18,-1.3735096,0.8436501,-0.7263334,-0.8839319,-0.6803473,-0.6571721,0.24603702
2013-12-19,-1.2326245,-0.65884054,-1.2694587,-2.171814,-0.01455912,0.7317813,0.3284221
2013-12-20,0.9586002,0.66002697,0.10665977,0.75261974,0.9322465,0.71747696,-0.7448019
2013-12-23,-0.7520859,-0.03303836,0.12874158,-0.3971482,-0.7981519,-0.14864092,0.26786795
2013-12-24,-0.19672115,1.3639191,0.029294653,0.28506795,0.0052498975,-0.12005811,0.17279536
2013-12-27,0.5230505,0.8561483,0.5861376,2.09431,0.3240662,0.78625447,-0.57359874
2013-12-30,-1.2155898,-0.8909248,-0.5414497,-0.6257293,-0.4463712,-0.4913448,0.62801784
2013-12-31,-0.7102262,-0.122773506,-0.14595455,-0.8579471,-0.42982778,-0.5878219,0.31333765
2014-01-02,0.25353256,0.24819265,1.4843725,1.9911151,-0.4856198,-1.0688994,0.6335822
2014-01-03,1.0844259,-0.8154607,1.1395503,-0.9837368,0.31539077,-1.1368474,0.027815817
2014-01-06,0.37209055,-0.015442154,0.17593913,-0.89514303,0.7641187,-0.31141412,0.091478065
2014-01-07,-0.7547158,-0.117669,-0.6411568,-0.32918298,-0.27115694,0.50243264,0.057089962
2014-01-08,-0.80567485,-0.5943354,0.25860798,-0.10778874,-0.813626,-0.27405524,0.31583425
2014-01-09,-0.24684954,-0.6091639,0.3884059,-0.22698535,-0.5612544,-0.83856493,0.101891465
2014-01-10,1.367019,1.3917855,0.3613083,0.78231174,1.3895596,-0.025729395,-0.37329006
2014-01-13,0.7130366,-0.23609717,0.7329804,1.0198431,0.1453506,0.5831704,-0.095840454
2014-01-14,0.2334472,-1.1440902,0.15952972,-0.13408071,0.19712129,0.66837496,0.06241951
2014-01-15,-1.0860952,0.24700375,-0.634224,0.545132,-0.6251358,1.0718596,-0.08755127
2014-01-16,0.57312596,-0.042127766,0.14299583,-0.49387404,0.7722957,-0.2343993,0.00012973779
2014-01-17,-0.29241928,0.85056925,0.14488555,1.0731772,-0.2858111,-0.07498679,-0.104587615
