date,F1,F2,F3,F4,F5,F6,F7
2013-10-21,0.05592645,0.04005824,0.037366476,0.061951615,0.025843376,-0.023602637,-0.026019525
2013-10-22,0.09221992,0.12224468,0.0647414,0.076960154,0.08347738,0.3192478,-0.1795696
2013-10-23,0.05235545,-0.028850118,0.016722547,0.023116043,-0.08596361,-0.92180896,0.33871865
2013-10-24,0.035900913,0.053994462,0.06157093,0.04820887,0.036066364,0.030400842,-0.008360691
2013-10-25,-0.043214712,0.00020113257,-0.014106627,0.0062378,-0.0041469485,0.011060163,0.006146098
2013-10-28,-0.07825153,-0.018116957,-0.02231426,-0.008832712,-0.03597662,0.18787856,-0.047175135
2013-10-29,-0.004726952,-0.009613408,0.014893993,-0.00451397,-0.015971443,-0.09166927,0.063276716
2013-10-30,0.03735329,0.047407098,0.045614544,0.027760342,0.07143152,0.4741191,-0.15299399
2013-10-31,-0.12532039,-0.08725062,-0.06668865,-0.04970178,-0.19260359,-0.874293,0.36098337
2013-11-01,0.039208215,0.0129681835,0.0077484893,0.041703805,-0.07925154,-0.8052974,0.30056825
2013-11-04,0.003482502,-0.01106309,-0.00032871505,0.03330903,-0.04031989,-0.50372493,0.16960993
2013-11-05,-0.016860003,-0.012954864,0.00959177,0.022524746,-0.038745683,-0.283219,0.11173576
2013-11-06,-0.0017429031,0.0074562463,0.010245763,-0.005062579,0.013823681,0.0811622,-0.00507645
2013-11-07,-0.004659535,-0.033395045,0.02201597,0.008808763,-0.031067796,-0.39827734,0.15913153
2013-11-08,-0.10169859,-0.109260514,-0.049737893,-0.052430913,-0.044956975,0.1301338,-0.0044636438
2013-11-11,-0.038856097,-0.04112869,-0.018151524,-0.02434634,0.0050750803,0.15125914,-0.032373186
2013-11-12,-0.020363893,-0.10293138,0.0127878515,0.027453339,-0.05095745,-0.31950027,0.16762707
2013-11-13,-0.06975698,-0.04498546,-0.05071452,-0.013001372,-0.03891169,-0.16041264,0.028357727
2013-11-14,0.013046057,0.07929394,0.044031333,0.0044748317,0.05359809,0.2558643,-0.10144746
2013-11-15,0.0024821789,-0.015519238,0.006600478,0.019798432,-0.01678744,-0.07649236,0.0450294
2013-11-18,-0.10883256,-0.03385459,-0.029133499,-0.015335122,-0.1170163,-0.6269497,0.22361982
